ef_id,category_code,category_name_th,category_name_en,ef_name,ef_description,unit,factor_value,source_name,source_detail,updated_tag,raw_text
87,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 0% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,km,0.5598,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"87. | รถบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 0% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | km | 0.5598 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
88,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 5 0% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.1228,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"88. | รถบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 5 0% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.1228 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
89,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 7 5% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0863,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"89. | รถบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 7 5% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0863 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
90,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 1 00% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0679,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"90. | รถบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 1 00% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0679 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
91,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 6 ล้อขนาดใหญ่ปกติ 0% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,km,0.4923,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"91. | รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งปกติ 0% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | km | 0.4923 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
92,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 6 ล้อขนาดใหญ่ปกติ 50% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.1083,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"92. | รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งปกติ 50% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.1083 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
93,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 6 ล้อขนาดใหญ่ปกติ 75% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0768,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"93. | รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งปกติ 75% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0768 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
94,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 6 ล้อขนาดใหญ่ปกติ 100% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0613,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"94. | รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งปกติ 100% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0613 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
95,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 0% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,km,0.6082,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"95. | รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 0% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | km | 0.6082 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
96,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 5 0% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.1345,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"96. | รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 5 0% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.1345 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
97,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 7 5% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0942,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"97. | รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 7 5% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0942 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
98,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 1 00% Loading,นำ้หนักบรรทุกสูงสุด 11 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0734,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"98. | รถกระบะบรรทุก 6 ล้อขนาดใหญ่วิ่งแบบสมบุกสมบัน 1 00% Loading | น้ำหนักบรรทุกสูงสุด 11 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0734 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
99,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 10 ล้อ่วิปกติ 0% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,km,0.5747,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"99. | รถบรรทุก 10 ล้อ่งิปกติ 0% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | km | 0.5747 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
100,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 10 ล้อ่วิปกติ 5 0% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0852,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"100. | รถบรรทุก 10 ล้อ่งิปกติ 5 0% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0852 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
101,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 10 ล้อ่วิปกติ 7 5% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.059,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"101. | รถบรรทุก 10 ล้อ่งิปกติ 7 5% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.059 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
102,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 10 ล้อ่วิปกติ 1 00% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0454,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"102. | รถบรรทุก 10 ล้อ่งิปกติ 1 00% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0454 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
103,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 10 ล้อ่วิวิ่งแบบสมบุกสมบัน 0% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,km,0.678,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"103. | รถบรรทุก 10 ล้อ่งิวิ่งแบบสมบุกสมบัน 0% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | km | 0.678 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
104,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 10 ล้อ่วิวิ่งแบบสมบุกสมบัน 5 0% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.1043,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"104. | รถบรรทุก 10 ล้อ่งิวิ่งแบบสมบุกสมบัน 5 0% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.1043 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
105,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 10 ล้อ่วิวิ่งแบบสมบุกสมบัน 7 5% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0725,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"105. | รถบรรทุก 10 ล้อ่งิวิ่งแบบสมบุกสมบัน 7 5% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0725 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
106,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุก 10 ล้อ่วิวิ่งแบบสมบุกสมบัน 1 00% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0553,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"106. | รถบรรทุก 10 ล้อ่งิวิ่งแบบสมบุกสมบัน 1 00% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0553 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
107,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุกเปิด 10 ล้อ่วิปกติ 0% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,km,0.6053,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"107. | รถบรรทุกเปิด 10 ล้อ่งิปกติ 0% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | km | 0.6053 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
108,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุกเปิด 10 ล้อ่วิปกติ 50% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0881,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"108. | รถบรรทุกเปิด 10 ล้อ่งิปกติ 50% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0881 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
109,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุกเปิด 10 ล้อ่วิปกติ 75% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0617,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"109. | รถบรรทุกเปิด 10 ล้อ่งิปกติ 75% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0617 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
110,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุกเปิด 10 ล้อ่วิปกติ 100% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0489,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"110. | รถบรรทุกเปิด 10 ล้อ่งิปกติ 100% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0489 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
111,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุกเปิด 10 ล้อ่วิวิ่งแบบสมบุกสมบัน 0% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,km,0.6674,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"111. | รถบรรทุกเปิด 10 ล้อ่งิวิ่งแบบสมบุกสมบัน 0% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | km | 0.6674 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
112,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุกเปิด 10 ล้อ่วิวิ่งแบบสมบุกสมบัน 5 0% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.1019,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"112. | รถบรรทุกเปิด 10 ล้อ่งิวิ่งแบบสมบุกสมบัน 5 0% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.1019 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
113,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุกเปิด 10 ล้อ่วิวิ่งแบบสมบุกสมบัน 7 5% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0738,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"113. | รถบรรทุกเปิด 10 ล้อ่งิวิ่งแบบสมบุกสมบัน 7 5% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0738 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
114,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถบรรทุกเปิด 10 ล้อ่วิวิ่งแบบสมบุกสมบัน 1 00% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0612,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"114. | รถบรรทุกเปิด 10 ล้อ่งิวิ่งแบบสมบุกสมบัน 1 00% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0612 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
115,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 10 ล้อ่วิปกติ 0% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,km,0.59,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"115. | รถกระบะบรรทุก 10 ล้อ่งิปกติ 0% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | km | 0.59 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
116,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 10 ล้อ่วิปกติ 50% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0972,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"116. | รถกระบะบรรทุก 10 ล้อ่งิปกติ 50% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0972 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
117,6,กลุ่มการขนส่งโดยรถบรรทุก (Truck Transportations) และขนส่งประเภทอื่นๆ (Others),,รถกระบะบรรทุก 10 ล้อ่วิปกติ 75% Loading,นำ้หนักบรรทุกสูงสุด 16 ตัน; ใช้นำ้มันดีเซลเป็นเชื้อเพลิง; LCIA method IPCC 2013 GWP 100a V1.03,tkm,0.0691,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"117. | รถกระบะบรรทุก 10 ล้อ่งิปกติ 75% Loading | น้ำหนักบรรทุกสูงสุด 16 ตัน; ใช้น้ำมันดีเซลเป็นเชื้อเพลิง ; LCIA method IPCC 2013 GWP 100a V1.03 | tkm | 0.0691 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
